ACCE_ABSORB_COST	Aufnahmepreis: %d
CANNOT_SKILL_NOT_ENOUGH_HP	Ich habe nicht genug TP!
CANNOT_SKILL_NOT_ENOUGH_SP	Ich habe nicht genug MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Das kann ich nicht verwenden, während ich reite.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Diese Fertigkeit kann ich nicht mit dieser Waffe einsetzen.
CANNOT_SKILL_NOT_YET_LEARN	Diese Fertigkeit habe ich nicht gelernt.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Das wirkt nur bei Gruppenmitgliedern.
CANNOT_SKILL_ONLY_FOR_CORPSE	Das wirkt nur bei Toten.
CANNOT_SKILL_RED	Wenn Indigowolfseele aktiviert ist, kannst du Purpurwolfseele nicht verwenden.
CANNOT_SKILL_REMOVE_FISHING_ROD	Diese Fertigkeit kann ich nicht mit einer Angelrute einsetzen.
CANNOT_SKILL_SELF_IN_SAFE	Ich kann nicht von hier angreifen.
CANNOT_SKILL_USE_SELF	Das kann ich nicht auf mich selbst anwenden.
CANNOT_SKILL_WAIT_COOLTIME	Diese Fertigkeit kann ich noch nicht einsetzen.
CANNOT_USE	Du kannst ihn nicht verwenden.
CANNOT_WHISPER_DEST_REFUSE	%s hat Flüstern blockiert.	SA
CANNOT_WHISPER_NOT_LOGON	%s ist nicht online.	SA
CANNOT_WHISPER_SELF_REFUSE	Du kannst niemandem etwas zuflüstern, wenn du Flüstern blockiert hast.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Rüstungen
CATEGORY_ARMOR_ARMOR_HEAD	Helme
CATEGORY_ARMOR_ARMOR_SHIELD	Schilde
CATEGORY_COSTUMES	Kostüme
CATEGORY_COSTUMES_COSTUME_BODY	Kostüme
CATEGORY_COSTUMES_COSTUME_HAIR	Frisuren
CATEGORY_COSTUMES_COSTUME_WEAPON	Waffenskins
CATEGORY_COSTUMES_ETC	Sonstiges
CATEGORY_COSTUMES_SASH	Schulterbänder
CATEGORY_EQUIPMENT_ARMOR	Ausrüstungen
CATEGORY_EQUIPMENT_JEWELRY	Schmuck
CATEGORY_EQUIPMENT_WEAPON	Waffen
CATEGORY_ETC	Sonstiges
CATEGORY_ETC_ETC	Sonstiges
CATEGORY_ETC_EVENT	Eventitems
CATEGORY_ETC_GIFTBOX	Truhen | Boxen
CATEGORY_ETC_MATRIMORY	Hochzeit
CATEGORY_ETC_PARTI	Kriegskunstbücher
CATEGORY_ETC_POLYMORPH	Verwandlungskugeln
CATEGORY_ETC_RECIPE	Trankherstellung
CATEGORY_ETC_SEAL	Seelenbindung
CATEGORY_FISHING_PICK	Angeln | Bergbau
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Spitzhacken
CATEGORY_FISHING_PICK_ETC	Sonstiges
CATEGORY_FISHING_PICK_FISHING_POLE	Angelruten
CATEGORY_FISHING_PICK_FOOD	Fische
CATEGORY_FISHING_PICK_PICK_BOOK	Bergbaubücher
CATEGORY_FISHING_PICK_STONE	Erze
CATEGORY_JEWELRY_ARMOR_EAR	Ohrringe
CATEGORY_JEWELRY_ARMOR_FOOTS	Schuhe
CATEGORY_JEWELRY_ARMOR_NECK	Halsketten
CATEGORY_JEWELRY_ARMOR_WRIST	Armbänder
CATEGORY_MOUNT_PET	Mounts | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Pet-Eier
CATEGORY_MOUNT_PET_FREE_PET	Levelbare Pets
CATEGORY_MOUNT_PET_MOUNT	Mounts
CATEGORY_POTION	Tränke
CATEGORY_POTION_ABILITY	Verbrauchsgüter
CATEGORY_POTION_ETC	Sonstiges
CATEGORY_POTION_HAIRDYE	Haarfarben
CATEGORY_SKILL	Fertigkeiten
CATEGORY_SKILL_BOOK_OF_OBLIVION	Bücher des Vergessens
CATEGORY_SKILL_ETC	Sonstiges
CATEGORY_SKILL_PAHAE	Konter | Boost
CATEGORY_SKILL_SKILL_BOOK	Fertigkeitsbücher
CATEGORY_TUNING	Verbesserungen
CATEGORY_TUNING_ETC	Sonstiges
CATEGORY_TUNING_RESOURCE	Materialien
CATEGORY_TUNING_STONE	Geiststeine
CATEGORY_UNIQUE	Sonderitems
CATEGORY_UNIQUE_ABILITY	Konsumgüter
CATEGORY_UNIQUE_ETC	Sonstiges
CATEGORY_WEAPON_WEAPON_ARROW	Pfeile
CATEGORY_WEAPON_WEAPON_BELL	Glocken
CATEGORY_WEAPON_WEAPON_BOW	Bögen
CATEGORY_WEAPON_WEAPON_CLAW	Klauen
CATEGORY_WEAPON_WEAPON_DAGGER	Dolche
CATEGORY_WEAPON_WEAPON_FAN	Fächer
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Speere
CATEGORY_WEAPON_WEAPON_QUIVER	Köcher
CATEGORY_WEAPON_WEAPON_SWORD	Einhandwaffen
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Zweihandwaffen
CHANGE_ALREADY_REGISTER	[Projektion] Dieser Gegenstand wurde bereits registriert.
CHANGE_LOOK_CHANGE_ITEM	Möchtest du den Gegenstand projizieren?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Projektion] Bitte entferne zuerst den Gegenstand, auf den die Projektion angewendet werden soll.
CHANGE_LOOK_COST	Preis für Projektion: 50.000.000 Yang
CHANGE_LOOK_DEL_ITEM	Der aufgenommene Gegenstand wird gelöscht.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Projektion] Dieser Gegenstand kann nicht projiziert werden.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Projektion] Du kannst den Gegenstand nicht projizieren, während er ausgerüstet ist.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Projektion] Dieser Gegenstand kann nicht registriert werden.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Projektion] Der Gegenstand ist seelengebunden.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Projektion] Bitte registriere den Gegenstand, den du projizieren möchtest.
CHANGE_LOOK_INSERT_ITEM	[Projektion] Du musst den Gegenstand zuerst registrieren.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Projektion] Die Aktion ist nicht möglich, wenn das Fenster "Projektion" geöffnet ist.
CHANGE_LOOK_TITLE	Projektion
CHANGE_TOOLTIP_LINE1	Lege den Gegenstand, auf den projiziert werden soll, links ab.
CHANGE_TOOLTIP_LINE2	Lege den anderen Gegenstand rechts ab.
CHANGE_TOOLTIP_LINE3	Das Aussehen des Gegenstands links ändert sich, wenn du
CHANGE_TOOLTIP_LINE4	die Projektion bestätigst (V) und dir Yang abgezogen wurde.
CHANGE_TOOLTIP_TITLE	Projektion
CHANNEL	Channel
CHANNELING_CANNOT_LOGOUT	Du kannst nicht zurück zum Anmeldebildschirm.
CHANNEL_EMPTY_SERVER	Kein Server
CHANNEL_NORMAL	Channel %d
CHANNEL_NOTIFY_FULL	Dieser Channel ist voll! Wähle bitte einen anderen aus.
CHANNEL_NOT_FIND_INFO	Keine Informationen über den Channel gefunden.
CHANNEL_PVP	Freies Duell
CHANNEL_SELECT_CHANNEL	Wähle den Channel
CHANNEL_SELECT_REGION	Ort für die Rechnungsstellung wählen
CHANNEL_SELECT_SERVER	Server wählen
CHANNEL_TEST_SERVER	Server testen
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Charakter erstellen
CHARACTER_SELECT_MODE	Charakter auswählen
CHAT_ALL	Alle
CHAT_BLOCK	Abblocken
CHAT_DICE_INFO	Wurf
CHAT_GUILD	Gilde
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Der Satz enthält unzulässige Wörter.
CHAT_LOG	Alte Nachrichten anzeigen [L]
CHAT_LOG_TITLE	Chat-Protokoll
CHAT_NORMAL	Normal
CHAT_NOTICE	Server
CHAT_PARTY	Gruppe
CHAT_SEND_CHAT	Chat senden
CHAT_SEND_MEMO	Flüstern senden [Umschalt+Eingabe]
CHAT_SHOUT	Rufen
CHAT_SHOUT_LIMIT	Du kannst nur alle 15 Sekunden rufen.
CHAT_WHISPER	Flüstern
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Du kannst kein Geld fallen lassen.
CHEQUE_SYSTEM_PICK_WON	Du hast %d Won erhalten.
CHEQUE_SYSTEM_SELL_PRICE	[Verkaufspreis]
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
COMB_ALREADY_APPEND	Wenn Du diesen Key siehst, melde Dich bitte bei Juna und merke Dir, wie Du ihn aufgerufen hast. Danke.
COMB_CANT_APPEND_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_CANT_APPEND_SEALED_ITEM	Du kannst keinen seelengebundenen Gegenstand verwenden.
COMB_COST	Preis: %s
COMB_IS_CONTINUE_PROCESS	Möchtest du fortfahren?
COMB_NOTICE	Du kannst keinen privaten Laden öffnen, während du Bücher tauschen möchtest.
COMB_NOTICE_NOT_OPEN	Du kannst keine Bücher tauschen, wenn du einen privaten Laden geöffnet hast.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Du benötigst ein 2. Kostüm, um Boni übertragen zu können.
COMB_NOT_FULL_BOOK	Nein, so werden wir nicht ins Geschäft kommen. Wie ich dir bereits erklärt habe, tausche ich nur, wenn du mir 10 Bücher dafür gibst.
COMB_NOT_ITEM_IN_INVENTORY	Du kannst keine ausgerüsteten Gegenstände verwenden.
COMB_NOT_MEDIUM_ITEM	Dieser Gegenstand kann nicht verwendet werden.
COMB_WILL_REMOVE_MATERIAL	Kostüm 2 wird zerstört.
CREATE_ERROR_GM_NAME	Du darfst im Charakternamen nicht ,GM‘ verwenden.
CREATE_ERROR_INSULT_NAME	Dieser Name ist nicht zulässig.
CREATE_ERROR_LIMIT_LEVEL	Dein Charakter muss mindestens Level 80 besitzen.
CREATE_ERROR_TIME_LIMIT	Du kannst nur alle 30 Sek. einen Charakter erstellen.
CREATE_ERROR_WRONG_STRING	Dieser Charaktername ist nicht gestattet.
CREATE_EXIST_SAME_NAME	Ein anderer Charakter trägt bereits diesen Namen.
CREATE_FAILURE	Du kannst den Charakter nicht erstellen.
CREATE_FULL	Du kannst keinen weiteren Charakter mehr erstellen.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Gib den Namen ein.
CREATE_PLUS_STAT	Es sind noch Statuspunkte verfügbar.
DAY	T
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Du kannst während einer Abfrage keine Gegenstände bewegen.
DO_YOU_BUY_ITEM1	Möchtest du %s für %s kaufen?
DO_YOU_BUY_ITEM2	Möchtest du %s (%s Stück) für %s kaufen?
DO_YOU_BUY_ITEM3	Möchtest du %s für %s Won und %s kaufen?
DO_YOU_BUY_ITEM4	Möchtest du %s (%s Stück) für %s Won und %s kaufen?
DO_YOU_DROP_MONEY	Möchtest du %d Yang fallen lassen?
DO_YOU_SELL_ITEM1	Möchtest du %s für %s verkaufen?
DO_YOU_SELL_ITEM2	Möchtest du %s (%s Stück) für %s verkaufen?
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kannst keine ausgerüsteten Gegenstände fallen lassen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kannst keine Gegenstände fallen lassen, solange du einen privaten Laden geöffnet hast.
DROP_MONEY_FAILURE_1000_OVER	Du kannst nur maximal 999 Yang fallen lassen.
EMOTION_ANGRY	Ärgerlich
EMOTION_ATTRACTIVE	Verführung
EMOTION_BANTER	Spöttisch
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Jubeln
EMOTION_CHOOSE_ONE	Wähle ein Ziel.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kuss
EMOTION_CONGRATULATION	Zuspruch
EMOTION_DANCE_1	Tanz 1
EMOTION_DANCE_2	Tanz 2
EMOTION_DANCE_3	Tanz 3
EMOTION_DANCE_4	Tanz 4
EMOTION_DANCE_5	Tanz 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Vergebung
EMOTION_FRENCH_KISS	Zungenkuss
EMOTION_JOY	Freude
EMOTION_SAD	Traurig
EMOTION_SHY	Ablehnung
EMOTION_SLAP	Schlag
EMPIRE_A	Shinsoo-Reich
EMPIRE_B	Chunjo-Reich
EMPIRE_C	Jinno-Reich
EMPIRE_SELECT_MODE	Reich auswählen
EXCHANGE_CANNOT_GIVE	Dieser Gegenstand kann nicht gehandelt werden.
EXCHANGE_CANT_EDIT_MONEY	Du kannst den Betrag jetzt nicht ändern.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kannst ausgerüstete Gegenstände nicht austauschen.
EXCHANGE_MONEY	Betrag
EXCHANGE_TITLE	Mit %s (%d) handeln
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Du benötigst noch %d Inventarerweiterung(en).
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Dein Inventar hat bereits die maximale Anzahl an Erweiterungen erreicht.
EXINVEN_USE_ITEM_QUESTION	Möchtest du dein Inventar mit %d Inventarerweiterungen vergrößern?
FISHING_FAILURE	Du hast den Fischköder verloren.
FISHING_NOTIFY1	Es sieht aus, als hätte %s angebissen.
FISHING_NOTIFY2	Es sieht aus, als hinge %s am Haken.
FISHING_SUCCESS1	Du hast %s gefangen!
FISHING_SUCCESS2	Du hast %s aus dem Wasser gezogen!
FISHING_UNKNOWN	Etwas hat angebissen, aber du kannst nicht erkennen, was es ist.
FISHING_WRONG_PLACE	Du kannst hier nicht fischen.
FOR_FEMALE	Für Frauen
FOR_MALE	Für Männer
GAME_CANNOT_MINING	Du kannst kein Erz abbauen, während du reitest.
GAME_CANNOT_PICK_ITEM	Du kannst den Gegenstand nicht einsammeln, da er nicht von dir erbeutet wurde.
GAME_GUILDWAR_NOW_JOIN	Möchtest du dem Gildenkrieg beitreten?
GAME_INIT_ERROR_CURSOR	Mauszeiger konnte nicht erstellt werden.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 muss installiert sein, damit das Spiel ausgeführt werden kann.\nInstalliere DirectX 8.1 oder höher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Kein Grafikgerät für das Ausführen des Spiels gefunden. \nÜberprüfe, ob deine VGA-Karte korrekt installiert ist.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikgerät konnte nicht erstellt werden.\nÜberprüfe, ob du über eine VGA-Karte verfügst.\nAlternativ kannst du die Hardware-Beschleunigung aktivieren.\n(Setze die Hardware-Beschleunigung auf Maximum \nSystemsteuerung->Anzeige->Einstellungen->Erweitert->Registerkarte Problembehandlung)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Die Grafikkarte des PCs unterstützt keinen Fenstermodus im 32bit-Modus.\nWechsel zum 16bit-Modus oder verwende den Vollbildmodus.
GAME_INIT_ERROR_ITEM_PROTO	Keine Gegenstandsdaten vorhanden.\nInstalliere das Spiel neu.
GAME_INIT_ERROR_MAIN_WINDOW	Hauptfenster konnte nicht erstellt werden.
GAME_INIT_ERROR_MOB_PROTO	Keine Monsterdaten vorhanden.\nInstalliere das Spiel neu.
GAME_INIT_ERROR_NETWORK	Netzwerkgerät konnte nicht erstellt werden.\nÜberprüfe die Internet-Verbindung.
GAME_PICK_MONEY	Du hast %d Yang erhalten.
GUILDBANK_CLEARBANK	Achtung: Das Gildenlager muss geleert sein!
GUILDBANK_DONT_MONEY_OUT	Du hast kein Yang in der Gildenbank!
GUILDBANK_GOLD_IN	Einzahlung
GUILDBANK_GOLD_OUT	Auszahlung
GUILDBANK_ITEM_IN	Einlagern
GUILDBANK_ITEM_OUT	Auslagern
GUILDBANK_MONEYIN	Yang einzahlen
GUILDBANK_MONEYOUT	Yang auszahlen
GUILDBANK_NOTUSE	Dir fehlen die Rechte dazu.
GUILDBANK_NOT_ENOUGH_MONEY	Du hast nicht so viel Yang zum Einzahlen.
GUILDBANK_OVER_INCOME	Kontolimit erreicht.
GUILDBANK_OVER_MONEY	Das Gildenkonto ist voll.
GUILDLAND_ABANDON	Gildenland aufgeben
GUILDLAND_ABANDON_VOTE	Gildenland deiner Gilde [%s] aufgeben.
GUILDLAND_ABANDON_VOTE_RESULT1	Gildenland der Gilde [%s] wurde aufgegeben.
GUILDLAND_ABANDON_VOTE_RESULT2	Das Gildenland wurde aufgegeben.
GUILDLAND_ABANDON_VOTE_RESULT3	Ergebnis der Umfrage:
GUILDLAND_ABANDON_VOTE_RESULT4	Umfrage ist ungültig.
GUILDLAND_ABANDON_VOTE_TEXT	Möchtest du die Umfrage wirklich starten?
GUILDLAND_ABANDON_VOTE_TEXT1	Stimmst du dafür, das Gildenland aufzugeben?
GUILDLAND_ACCEPT	Ja
GUILDLAND_DEAL	Gildenland verkaufen
GUILDLAND_DEAL_TEXT1	Gilde [%s] möchte ihr Gildenland
GUILDLAND_DEAL_TEXT2	für [%s] Yang verkaufen.
GUILDLAND_DEAL_TEXT3	Akzeptierst du das Angebot?
GUILDLAND_DELA_VOTE	Die Gilde [%s] möchte unser Gildenland kaufen.
GUILDLAND_DELA_VOTE_RESULT1	Gildenlandverkauf an Gilde [%s]
GUILDLAND_DELA_VOTE_RESULT2	Die Umfrage ist vorbei.
GUILDLAND_DELA_VOTE_RESULT3	Umfrageergebnis für Gildenlandverkauf:
GUILDLAND_DELA_VOTE_RESULT4	Umfrage ist ungültig.
GUILDLAND_DELA_VOTE_TEXT	An welche Gilde möchtest du dein Gildenland verkaufen?
GUILDLAND_DELA_VOTE_TEXT1	Stimmst du dafür, das Gildenland zu verkaufen?
GUILDLAND_DONTHAVE_LAND	Du besitzt kein Gildenland.
GUILDLAND_NOT	Nein
GUILDLAND_VOTE_TEXT	Möchtest du [%s] das Land geben?
GUILDLIST_APPLICANT	Möchtest du dich bewerben?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Höhe beträgt nicht 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Höhe beträgt nicht 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breite beträgt nicht 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breite beträgt nicht 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Das Spiel unterstützt dieses Bild nicht.
GUILDMARK_UPLOADER_ERROR_PATH	Verschiebe die Dateien in den Ordner metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Keine Bilddatei ausgewählt.
GUILDVOTE_CHANGEMASTER	Gildenleiter wechseln
GUILDVOTE_CHANGEMASTER_RESULT1	Die Gilde wurde erfolgreich übertragen.
GUILDVOTE_CHANGEMASTER_RESULT2	Du hast die Gilde [%s] übertragen bekommen.
GUILDVOTE_CHANGEMASTER_RESULT3	Übertragen der Gilde an Mitglied [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Umfrage ist ungültig.
GUILDVOTE_CHANGEMASTER_RESULT5	Neuer Gildenleiter: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Möchtest du die Gilde an [%s] abgeben?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Möchtest du die Gildenführung wirklich abgeben?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Übertragen der Gilde an Mitglied [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Stimmst du dafür, dass die Gilde übertragen wird?
GUILDVOTE_MEMBEROUT	Mitglied entfernen
GUILDVOTE_MEMBEROUT_AUTH	Dir fehlen die Rechte dazu.
GUILDVOTE_MEMBEROUT_NOMAL	Möchtest du das Mitglied wirklich entfernen?
GUILDVOTE_MEMBEROUT_RESULT1	Entfernen von Mitglied: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Umfrageergebnis
GUILDVOTE_MEMBEROUT_RESULT3	Du wurdest aus der Gilde [%s] entfernt.
GUILDVOTE_MEMBEROUT_RESULT4	Umfrageergebnis
GUILDVOTE_MEMBEROUT_RESULT5	Umfrage ist ungültig.
GUILDVOTE_MEMBEROUT_TEXT1	Möchtest du die Umfrage gegen [%s] starten?
GUILDVOTE_MEMBEROUT_TEXT2	Umfrage: Mitglied aus der Gilde entfernen?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Umfrage: Soll [%s] aus der Gilde entfernt werden?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Dagegen
GUILDVOTE_OK	Dafür
GUILDVOTE_RESULT_AGGRE_MEMBER	Dafür: %d
GUILDVOTE_RESULT_ALL_MEMBER	Teilnehmer: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Dagegen: %d
GUILDVOTE_RESULT_TIME	%d Tage %d Stunden %d Minuten %d Sekunden
GUILDVOTE_SELECT_ONE	Bitte wähle einen Charakter aus.
GUILDWAR_ALL	Kämpfe (K)
GUILDWAR_CTF_TITLE	Flaggenkampf
GUILDWAR_DRAW	Unentschieden (U)
GUILDWAR_GAINSCORE_FIFTY	50 Punkte
GUILDWAR_GAINSCORE_HUNDRED	100 Punkte
GUILDWAR_GAINSCORE_THIRTY	30 Punkte
GUILDWAR_GAMETIME_SIXTY	60 Minuten
GUILDWAR_GAMETIME_TEN	10 Minuten
GUILDWAR_GAMETIME_THIRTY	30 Minuten
GUILDWAR_INPUT_OTHERGUILD	Bitte gegnerische Gilde eintragen.
GUILDWAR_LADDER	Rangpunkte
GUILDWAR_LIMIT_MEMBER_FIVE	Mindestanzahl der Teilnehmer beträgt 5.
GUILDWAR_LOSE	Niederlagen (N)
GUILDWAR_NORMAL_TITLE	Feldschlacht
GUILDWAR_OVER_MEMBERCOUNT	Du hast das Mitgliederlimit erreicht.
GUILDWAR_QUESTION_LINE_1	Die Gilde %s hat deiner Gilde den Krieg erklärt.
GUILDWAR_QUESTION_LINE_2	Nimmst du an? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d K, %d S, %d N, %d U
GUILDWAR_SELECT_MEMBER_COUNT	Wähle die Anzahl der Teilnehmer.
GUILDWAR_TYPE_DEFENSE	Schildkampf
GUILDWAR_TYPE_TIGER	Vernichtungskampf
GUILDWAR_TYPE_TIME	Zeitangriff
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arenakampf
GUILDWAR_WIN	Siege (S)
GUILDWAR_WIN_FIVE	Fünf Runden
GUILDWAR_WIN_ONE	Eine Runde
GUILDWAR_WIN_THREE	Drei Runden
GUILDWINDOW_BUTTON_BANKGOLDINFO	Gildenlager-Log
GUILDWINDOW_BUTTON_BASEABANDON	Gildenland aufgeben
GUILDWINDOW_BUTTON_BASEDEAL	Gildenland verkaufen
GUILDWINDOW_BUTTON_BASEDEALVOTE	Umfrage
GUILDWINDOW_BUTTON_BOARD	Gildennotizen
GUILDWINDOW_BUTTON_CHANGEMASTER	Gildenleiter wechseln
GUILDWINDOW_BUTTON_DECLARE	Kriegserklärung
GUILDWINDOW_BUTTON_GOLDIN	Einzahlung
GUILDWINDOW_BUTTON_GOLDOUT	Auszahlung
GUILDWINDOW_BUTTON_GRADE	Rechteverwaltung
GUILDWINDOW_BUTTON_GUILDLIST	Gildenliste
GUILDWINDOW_BUTTON_HEALGSP	Drachenmacht wiederherstellen
GUILDWINDOW_BUTTON_INFO	Gildeninformationen
GUILDWINDOW_BUTTON_LANDINFO	Landinformationen
GUILDWINDOW_BUTTON_MARK	Gildenzeichen hochladen
GUILDWINDOW_BUTTON_MEMBER	Mitglieder
GUILDWINDOW_BUTTON_OFFER	EXP spenden
GUILDWINDOW_BUTTON_OUTMEMBER	Mitglied entfernen
GUILDWINDOW_BUTTON_SKILL	Gildenfertigkeiten
GUILDWINDOW_BUTTON_SYMBOL	Gildenflagge hochladen
GUILDWINDOW_BUTTON_VOTECHECK	Überprüfe Umfrage
GUILDWINDOW_BUY_GUILD_LAND	Landkauf
